Website,Trustworthiness,Avg_Daily_Visitors,Child_Safety,Avg_Daily_Pageviews,Privacy,Facebook_likes,Twitter_mentions,Google_pluses,LinkedIn_mentions,Pinterest_pins,StumbleUpon_views,Traffic_Rank,Reach_Day,Month_Average_Daily_Reach,Daily_Pageviews,Month_Average_Daily_Pageviews,Daily_Pageviews_per_user,Location,Hosted_by,Registrar,subnetwork_count,Status
tusubtitulo.com,Excellent,182542.0,Excellent,564055.0,Excellent,2,1170,8,3,0,1,6319,0.01344,0.013632,0.000854,0.000998,2.688,United States,"InMotion Hosting, Inc.",TUCOWS DOMAINS INC.,1,Safe
icrt.cu,Excellent,36594.0,Excellent,168335.0,Excellent,2,2,2065,56,0,63,26731,0.004298,0.00277,0.000458,0.000308,4.1065,Cuba,ETECSA,Unknown,1,Risky
ecured.cu,Excellent,211099.0,Excellent,289206.0,Excellent,2,185,12,56,0,1,7113,0.01152,0.014688,0.000365,0.000503,1.152,Cuba,ETECSA,Unknown,1,Risky
etecsa.cu,Good,24962.0,Excellent,117324.0,Good,2,185,2065,56,0,1,29033,0.000669,0.002579,3.1e-05,0.000309,1.91,Cuba,ETECSA,Unknown,1,Risky
juventudrebelde.cu,Good,45545.0,Excellent,127526.0,Good,1,185,399,1,0,48,23715,0.002961,0.003629,0.000258,0.000221,3.3425,Cuba,ETECSA,Unknown,1,Risky
elnuevoherald.com,Excellent,103795.0,Excellent,238729.0,Excellent,5,134,3020,829,0,163,11386,0.006303,0.008385,0.000411,0.000436,2.3875,United States,"NTT America, Inc.","NETWORK SOLUTIONS, LLC.",2,Safe
elpais.com,Excellent,2444635.0,Excellent,6307161.0,Excellent,62,196000,1220000,4230,9,874,414,0.16512,0.19008,0.01152,0.011722,2.6208,Spain,"Ediciones El Pais, S.L.","ASCIO TECHNOLOGIES, INC. DANMARK - FILIAL AF ASCIO TECHNOLOGIES, INC. USA",2,Safe
ccm.net,Excellent,1636831.0,Excellent,2897192.0,Excellent,2,218,733,1,0,1,619,0.13344,0.13344,0.005856,0.005597,1.6896,United States,"Akamai Technologies, Inc.",SAFEBRANDS SAS,2,Safe
mundodeportivo.com,Excellent,553799.0,Excellent,1384499.0,Excellent,7,220,224000,56,0,20,1988,0.04608,0.046464,0.002496,0.002774,2.304,United States,"NTT America, Inc.","ENTORNO DIGITAL, S.A.",2,Safe
uh.cu,Excellent,26665.0,Excellent,117324.0,Excellent,2,185,2065,11,0,2,39986,0.000955,0.002101,5.5e-05,0.000239,1.91,Cuba,Universidad de la Habana,Unknown,1,Risky
messenger.com,Excellent,5239246.0,Excellent,9640213.0,Excellent,1,214,1970,1090,0,12,216,0.4368,0.425376,0.01872,0.018288,1.824,United States,"Facebook, Inc.",HOGAN LOVELLS INTERNATIONAL LLP,1,Safe
